ODS_CODE,NAME,POSTCODE,POSTCODE_LATITUDE,POSTCODE_LONGITUDE,POSTCODE_DISTRICT,POSTCODE_COUNTY,GPAD_SYSTEMS,SYSTEM
A81063,THE HEADLAND MEDICAL CENTRE,TS24 0NZ,54.696651,-1.18312,E06000001,E99999999,TPP,TPP
A81064,THE DISCOVERY PRACTICE,TS1 2NX,54.575059,-1.235411,E06000002,E99999999,TPP,TPP
A81066,PARK LANE SURGERY,TS21 1JS,54.60465,-1.425143,E06000004,E99999999,TPP,TPP
A81067,ALMA MEDICAL CENTRE,TS18 2BP,54.569502,-1.317661,E06000004,E99999999,TPP,TPP
A81070,MCKENZIE GROUP PRACTICE,TS25 3DQ,54.660476,-1.239281,E06000001,E99999999,TPP,TPP
A81602,DR RASOOL,TS23 2DG,54.611738,-1.29223,E06000004,E99999999,TPP,TPP
A81608,ELM TREE SURGERY,TS17 6PG,54.554886,-1.29966,E06000004,E99999999,TPP,TPP
A81610,THE ROSEBERRY PRACTICE,TS23 2DG,54.611738,-1.29223,E06000004,E99999999,TPP,TPP
A81611,PARKWAY MEDICAL CENTRE,TS8 0TL,54.524817,-1.213775,E06000002,E99999999,EMIS,EMIS
A81612,THE PATEL PRACTICE,TS25 1AX,54.661414,-1.188586,E06000001,E99999999,TPP,TPP
A81618,HUNTCLIFF SURGERY,TS12 1BJ,54.582776,-0.974707,E06000003,E99999999,EMIS,EMIS
A81621,THORNTREE SURGERY,TS3 9NB,54.565221,-1.183474,E06000002,E99999999,TPP,TPP
A81622,GLADSTONE HOUSE SURGERY,TS26 8DF,54.685211,-1.218591,E06000001,E99999999,TPP,TPP
A81629,RIVERSIDE MEDICAL PRACTICE,TS18 2AP,54.56887,-1.315584,E06000004,E99999999,TPP,TPP
A81631,WEST VIEW MILLENIUM SURGERY A,TS24 9LJ,54.709889,-1.22282,E06000001,E99999999,TPP,TPP
A82003,ULVERSTON MEDICAL PRACTICE,LA12 7BT,54.198891,-3.097833,E06000064,E99999999,EMIS,EMIS
A82004,ALSTON MEDICAL PRACTICE,CA9 3QU,54.810742,-2.440174,E06000064,E99999999,EMIS,EMIS
A82005,AMBLESIDE HEALTH CENTRE,LA22 9BP,54.435059,-2.96636,E06000064,E99999999,EMIS,EMIS
A82006,APPLEBY MEDICAL PRACTICE,CA16 6QR,54.57809,-2.492998,E06000064,E99999999,EMIS,EMIS
A82007,DUKE STREET SURGERY,LA14 1LF,54.110679,-3.225657,E06000064,E99999999,EMIS,EMIS
A82008,NORWOOD MEDICAL CENTRE,LA14 5ES,54.119209,-3.222971,E06000064,E99999999,EMIS,EMIS
A82009,BRIDGEGATE MEDICAL CENTRE,LA13 9SH,54.11433,-3.208692,E06000064,E99999999,EMIS,EMIS
A82010,ABBEY ROAD SURGERY,LA14 2LB,54.109942,-3.224779,E06000064,E99999999,EMIS,EMIS
A82012,BRAMPTON MEDICAL PRACTICE,CA8 1NL,54.94237,-2.734846,E06000063,E99999999,EMIS,EMIS
A82013,UPPER EDEN MEDICAL PRACTICE,CA17 4RB,54.474727,-2.350139,E06000064,E99999999,EMIS,EMIS
A82014,CALDBECK SURGERY,CA7 8DS,54.749871,-3.050627,E06000063,E99999999,EMIS,EMIS
A82015,CARLISLE CENTRAL PRACTICE,CA1 1EB,54.893802,-2.928497,E06000063,E99999999,EMIS,EMIS
A82016,CARLISLE HEALTHCARE,CA1 3UB,54.885364,-2.903502,E06000063,E99999999,EMIS,EMIS
A82018,SPENCER ST SURGERY,CA1 1BP,54.894887,-2.931157,E06000063,E99999999,EMIS,EMIS
A82020,EDEN MEDICAL GROUP,CA2 7AJ,54.894174,-2.952455,E06000063,E99999999,EMIS,EMIS
A82021,CASTLEGATE AND DERWENT SURGERY,CA13 9HT,54.667192,-3.358501,E06000063,E99999999,EMIS,EMIS
A82022,DALSTON MEDICAL GROUP,CA5 7PZ,54.841382,-2.985547,E06000063,E99999999,EMIS,EMIS
A82023,DISTINGTON SURGERY,CA14 5UR,54.595313,-3.541352,E06000063,E99999999,EMIS,EMIS
A82024,SEASCALE HEALTH CENTRE,CA20 1PN,54.396973,-3.479867,E06000063,E99999999,EMIS,EMIS
A82025,CAPTAIN FRENCH SURGERY,LA9 4JE,54.323439,-2.748564,E06000064,E99999999,EMIS,EMIS
A82026,THE JAMES COCHRANE PRACT.,LA9 7HR,54.312706,-2.737133,E06000064,E99999999,EMIS,EMIS
A82027,STATION HOUSE SURGERY,LA9 6SA,54.331889,-2.739537,E06000064,E99999999,EMIS,EMIS
A82028,CASTLEHEAD MEDICAL CENTRE,CA12 4DB,54.597698,-3.134576,E06000063,E99999999,EMIS,EMIS
A82029,THE CROFT SURGERY,CA7 5JH,54.896921,-3.202915,E06000063,E99999999,EMIS,EMIS
A82030,LUNESDALE SURGERY,LA6 2HQ,54.200584,-2.602214,E06000064,E99999999,EMIS,EMIS
A82031,SHAP MEDICAL PRACTICE,CA10 3LW,54.528899,-2.677936,E06000064,E99999999,EMIS,EMIS
A82032,MARYPORT HEALTH SERVICES,CA15 8EL,54.706439,-3.494532,E06000063,E99999999,EMIS,EMIS
A82033,WATERLOO HOUSE SURGERY,LA18 4BY,54.208948,-3.268021,E06000063,E99999999,EMIS,EMIS
A82035,BIRBECK MEDICAL GROUP,CA11 8HW,54.656225,-2.743839,E06000064,E99999999,EMIS,EMIS
A82036,THE LAKES MEDICAL PRACTICE,CA11 8HW,54.656225,-2.743839,E06000064,E99999999,EMIS,EMIS
A82037,SILLOTH GROUP MEDICAL PRACTICE,CA7 4AH,54.86971,-3.393572,E06000063,E99999999,EMIS,EMIS
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,CA10 1RW,54.636786,-2.605304,E06000064,E99999999,EMIS,EMIS
A82039,DALTON SURGERY,LA15 8AB,54.155925,-3.179815,E06000064,E99999999,EMIS,EMIS
A82041,LOWTHER MEDICAL CENTRE,CA28 7RG,54.545063,-3.586393,E06000063,E99999999,EMIS,EMIS
A82044,FELLVIEW HEALTHCARE,CA22 2BD,54.482542,-3.532986,E06000063,E99999999,EMIS,EMIS
A82045,WIGTON GROUP MEDICAL PRACTICE,CA7 9QD,54.82033,-3.159035,E06000063,E99999999,EMIS,EMIS
A82046,WINDERMERE HEALTH CENTRE,LA23 2EG,54.370879,-2.913424,E06000064,E99999999,EMIS,EMIS
A82047,JAMES STREET GROUP PRACT,CA14 2DL,54.644838,-3.550292,E06000063,E99999999,EMIS,EMIS
A82053,NUTWOOD MEDICAL PRACTICE,LA11 7DJ,54.187966,-2.915665,E06000064,E99999999,EMIS/EVERGREENLIFE,EMIS
A82055,ASPATRIA MEDICAL GROUP,CA7 3HH,54.762157,-3.337948,E06000063,E99999999,EMIS,EMIS
A82062,ATKINSON HEALTH CENTRE,LA14 2LB,54.109942,-3.224779,E06000064,E99999999,EMIS,EMIS
A82064,WESTCROFT HOUSE SURGERY,CA22 2DB,54.483155,-3.528594,E06000063,E99999999,EMIS,EMIS
A82068,ULVERSTON COMMUNITY HEALTH CENTRE,LA12 7BT,54.198891,-3.097833,E06000064,E99999999,EMIS,EMIS
A82070,ST. MARY'S SURGERY,LA23 1BA,54.380773,-2.90884,E06000064,E99999999,EMIS,EMIS
A82071,BURNETT EDGAR MEDICAL CTR,LA14 3HY,54.107131,-3.255073,E06000064,E99999999,MEDICUS,MEDICUS
A82072,RISEDALE SURGERY,LA14 2LB,54.109942,-3.224779,E06000064,E99999999,EMIS,EMIS
A82075,MANSION HOUSE SURGERY,CA28 7BU,54.545953,-3.588422,E06000063,E99999999,EMIS,EMIS
A82608,SEDBERGH MEDICAL PRACTICE,LA10 5DL,54.322391,-2.535271,E06000064,E99999999,EMIS,EMIS
A82613,WRAYSDALE HOUSE SURGERY,LA21 8ER,54.367255,-3.07608,E06000064,E99999999,EMIS,EMIS
A82617,KIRKOSWALD SURGERY,CA10 1DQ,54.763777,-2.692582,E06000064,E99999999,EMIS,EMIS
A82620,GLENRIDDING HEALTH CENTRE,CA11 0PD,54.544383,-2.951274,E06000064,E99999999,EMIS,EMIS
A82629,THE FAMILY PRACTICE,LA14 5SL,54.116763,-3.229279,E06000064,E99999999,EMIS,EMIS
A82631,COURT THORN SURGERY,CA4 0HP,54.801834,-2.826253,E06000064,E99999999,EMIS,EMIS
A82646,LONGTOWN MEDICAL CENTRE,CA6 5XA,55.010511,-2.96428,E06000063,E99999999,EMIS,EMIS
A82647,CARTMEL SURGERY,LA11 6PH,54.199174,-2.946985,E06000064,E99999999,EMIS,EMIS
A82650,HAVERTHWAITE SURGERY,LA12 8AL,54.249762,-2.999729,E06000064,E99999999,EMIS,EMIS
A82651,DUDDON VALLEY MEDICAL PRACTICE,LA17 7TE,54.232419,-3.184683,E06000064,E99999999,EMIS,EMIS
A82654,WARWICK SQUARE GROUP PRACTICE,CA1 1LB,54.893141,-2.926814,E06000063,E99999999,EMIS,EMIS
A83001,ST ANDREW'S MEDICAL PRACTICE,DL16 6QA,54.699644,-1.598223,E06000047,E99999999,TPP,TPP
A83003,WILLINGTON MEDICAL GROUP,DL15 0EQ,54.710285,-1.694347,E06000047,E99999999,TPP,TPP
A83005,WHINFIELD MEDICAL PRACTICE,DL1 3RT,54.546281,-1.525004,E06000005,E99999999,TPP,TPP
A83006,ORCHARD COURT SURGERY,DL3 6HZ,54.532373,-1.566657,E06000005,E99999999,TPP,TPP
A83007,BLACKHALL AND PETERLEE PRACTICE,TS27 4LQ,54.746911,-1.289751,E06000047,E99999999,TPP,TPP
A83008,HALLGARTH SURGERY,DL4 2HP,54.634893,-1.643649,E06000047,E99999999,TPP,TPP
A83009,BRIDGE END SURGERY,DH3 3SL,54.859312,-1.573492,E06000047,E99999999,EMIS,EMIS
A83010,MOORLANDS SURGERY,DL3 9JP,54.534227,-1.577594,E06000005,E99999999,TPP,TPP
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,DH1 1QW,54.778709,-1.567171,E06000047,E99999999,TPP,TPP
A83012,WILLIAM BROWN CENTRE,SR8 5TW,54.758004,-1.331435,E06000047,E99999999,TPP,TPP
A83013,NEASHAM ROAD SURGERY,DL1 4YL,54.517268,-1.542657,E06000005,E99999999,TPP,TPP
A83014,BELMONT & SHERBURN MEDICAL GROUP,DH1 2QW,54.786157,-1.528172,E06000047,E99999999,TPP,TPP
A83015,STATION VIEW MEDICAL CENTRE,DL14 6AB,54.656611,-1.678241,E06000047,E99999999,TPP,TPP
A83016,TANFIELD VIEW MEDICAL GROUP,DH9 8AD,54.869947,-1.701385,E06000047,E99999999,TPP,TPP
A83018,CONSETT MEDICAL CENTRE,DH8 5YA,54.85132,-1.827769,E06000047,E99999999,TPP,TPP
A83020,NORTH HOUSE SURGERY,DL15 9HU,54.716993,-1.747262,E06000047,E99999999,TPP,TPP
A83021,AUCKLAND MEDICAL GROUP,DL14 6RP,54.648094,-1.679006,E06000047,E99999999,TPP,TPP
A83022,THE MEDICAL GROUP,DH7 8NH,54.748305,-1.628922,E06000047,E99999999,TPP,TPP
A83023,STANLEY MEDICAL GROUP,DH9 0AB,54.870038,-1.698065,E06000047,E99999999,TPP,TPP
A83024,WEST RAINTON SURGERY,DH4 6RQ,54.81111,-1.504994,E06000047,E99999999,TPP,TPP
A83025,BISHOPGATE MEDICAL CENTRE,DL14 7EJ,54.659113,-1.676237,E06000047,E99999999,TPP,TPP
A83026,SACRISTON MEDICAL CENTRE,DH7 6JW,54.81962,-1.628363,E06000047,E99999999,EMIS,EMIS
A83027,COXHOE MEDICAL PRACTICE,DH6 4DH,54.714682,-1.504367,E06000047,E99999999,TPP,TPP
A83028,MIDDLE CHARE MEDICAL GROUP,DH3 3QD,54.855645,-1.573126,E06000047,E99999999,EMIS,EMIS
A83029,GREAT LUMLEY SURGERY,DH3 4LE,54.837257,-1.543131,E06000047,E99999999,EMIS,EMIS
A83030,DUNELM MEDICAL PRACTICE,DH7 7DG,54.783437,-1.636142,E06000047,E99999999,TPP,TPP
A83031,CARMEL MEDICAL PRACTICE,DL3 8SQ,54.527924,-1.579281,E06000005,E99999999,TPP,TPP
A83032,WOODVIEW MEDICAL PRACTICE,DL13 5AF,54.612781,-1.80411,E06000047,E99999999,TPP,TPP
A83033,PELTON & FELLROSE MEDICAL GROUP,DH2 1HS,54.873325,-1.60356,E06000047,E99999999,TPP,TPP
A83034,BLACKETTS MEDICAL PRACTICE,DL3 7JR,54.527232,-1.559016,E06000005,E99999999,TPP,TPP
A83035,THE WEARDALE PRACTICE,DL13 2XD,54.746013,-2.002665,E06000047,E99999999,TPP,TPP
A83036,CHASTLETON MEDICAL GROUP,DH1 5BH,54.795763,-1.587147,E06000047,E99999999,TPP,TPP
A83037,BEWICK CRESCENT SURGERY,DL5 5LH,54.617559,-1.57187,E06000047,E99999999,TPP,TPP
A83038,CEDARS MEDICAL GROUP,NE16 6HU,54.905577,-1.740454,E06000047,E99999999,TPP,TPP
A83040,CLIFTON COURT MEDICAL PRACTICE,DL1 5JN,54.521149,-1.549565,E06000005,E99999999,TPP,TPP
A83041,MURTON MEDICAL CENTRE,SR7 9AB,54.817006,-1.38334,E06000047,E99999999,TPP,TPP
A83043,OLD FORGE SURGERY,DL12 0QE,54.62305,-2.079766,E06000047,E99999999,TPP,TPP
A83044,THE HORDEN GROUP PRACTICE,SR8 4LD,54.763742,-1.312924,E06000047,E99999999,TPP,TPP
A83045,FERRYHILL AND CHILTON MEDICAL PRACTICE,DL17 8JJ,54.689848,-1.556839,E06000047,E99999999,TPP,TPP
A83046,BARNARD CASTLE SURGERY,DL12 8HT,54.545717,-1.916162,E06000047,E99999999,TPP,TPP
A83047,DENMARK STREET SURGERY,DL3 0PD,54.538836,-1.552261,E06000005,E99999999,TPP,TPP
A83048,ROCKLIFFE COURT SURGERY,DL2 2DS,54.483455,-1.544084,E06000005,E99999999,TPP,TPP
A83049,QUEENS ROAD SURGERY,DH8 0BW,54.866986,-1.843798,E06000047,E99999999,TPP,TPP
A83050,CESTRIA HEALTH CENTRE,DH2 3DJ,54.85173,-1.597698,E06000047,E99999999,TPP,TPP
A83051,MARLBOROUGH SURGERY,SR7 7JE,54.835804,-1.33549,E06000047,E99999999,TPP,TPP
A83052,BISHOPS CLOSE MEDICAL PRACTICE,DL16 6ED,54.699827,-1.599152,E06000047,E99999999,TPP,TPP
A83054,SKERNE MEDICAL GROUP,TS21 3BN,54.654043,-1.448812,E06000047,E99999999,TPP,TPP
A83055,CHEVELEY PARK MEDICAL CTR,DH1 2UW,54.785609,-1.52583,E06000047,E99999999,TPP,TPP
A83057,EAST DURHAM MEDICAL GROUP,TS28 5PZ,54.725581,-1.378952,E06000047,E99999999,TPP,TPP
A83060,PINFOLD MEDICAL PRACTICE,DL13 5NX,54.626551,-1.836075,E06000047,E99999999,TPP,TPP
A83061,GAINFORD SURGERY,DL2 3BE,54.546257,-1.731126,E06000047,E99999999,TPP,TPP
A83066,JUBILEE MEDICAL GROUP,DL5 4SE,54.629666,-1.580232,E06000047,E99999999,TPP,TPP
A83070,MIDDLETON AND DINSDALE MEDICAL PRACTICE,DL2 1BY,54.514806,-1.447921,E06000005,E99999999,TPP,TPP
A83071,THE NEW SEAHAM MEDICAL GROUP,SR7 8DY,54.834804,-1.365336,E06000047,E99999999,TPP,TPP
A83072,LANCHESTER MEDICAL CENTRE,DH7 0LP,54.819817,-1.738684,E06000047,E99999999,TPP,TPP
A83073,DRS LAMBERT & NG,DH9 7XT,54.857656,-1.737599,E06000047,E99999999,TPP,TPP
A83074,PEASE WAY MEDICAL CENTRE,DL5 5NH,54.618591,-1.576505,E06000047,E99999999,TPP,TPP
A83075,BYRON MEDICAL PRACTICE,SR7 8LF,54.836856,-1.348925,E06000047,E99999999,TPP,TPP
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,TS28 5PZ,54.725581,-1.378952,E06000047,E99999999,TPP,TPP
A83616,BEVAN MEDICAL GROUP,DH6 2LQ,54.760846,-1.388109,E06000047,E99999999,TPP,TPP
A83617,BROWNEY HOUSE SURGERY,DH7 9YT,54.800365,-1.669761,E06000047,E99999999,TPP,TPP
A83618,OAKFIELDS HEALTH GROUP,NE17 7SB,54.903631,-1.816537,E06000047,E99999999,TPP,TPP
A83619,SOUTHDENE MEDICAL CENTRE,DH6 2LT,54.763245,-1.386161,E06000047,E99999999,TPP,TPP
A83622,THE HAVEN SURGERY,DH7 0BD,54.825113,-1.712284,E06000047,E99999999,TPP,TPP
A83626,EVENWOOD MEDICAL PRACTICE,DL14 9SU,54.620141,-1.758638,E06000047,E99999999,TPP,TPP
A83627,SILVERDALE FAMILY PRACTICE,DH6 2TH,54.800253,-1.4101,E06000047,E99999999,TPP,TPP
A83634,WEST CORNFORTH MEDICAL CENTRE,DL17 9LH,54.703235,-1.522756,E06000047,E99999999,TPP,TPP
A83635,BOWBURN MEDICAL CENTRE,DH6 5AL,54.736269,-1.527275,E06000047,E99999999,TPP,TPP
A83636,LEADGATE SURGERY,DH8 6DP,54.86057,-1.805999,E06000047,E99999999,TPP,TPP
A83637,VILLAGES MEDICAL GROUP,DH2 2NJ,54.857871,-1.609802,E06000047,E99999999,TPP,TPP
A83641,PARKGATE SURGERY,DL1 5LW,54.523284,-1.548615,E06000005,E99999999,TPP,TPP
A83644,ANNFIELD PLAIN SURGERY,DH9 7TD,54.856771,-1.735502,E06000047,E99999999,EMIS,EMIS
A84002,THE ROTHBURY PRACTICE,NE65 7RW,55.306774,-1.913926,E06000057,E99999999,TPP,TPP
A84005,BEDLINGTONSHIRE MED.GROUP,NE22 6JX,55.1322,-1.598682,E06000057,E99999999,TPP,TPP
A84006,ALNWICK MEDICAL GROUP,NE66 2NL,55.410077,-1.6967,E06000057,E99999999,TPP,TPP
A84007,PONTELAND MEDICAL GROUP,NE20 9SD,55.051757,-1.750046,E06000057,E99999999,TPP,TPP
A84008,BELFORD MEDICAL PRACTICE,NE70 7ER,55.595956,-1.826117,E06000057,E99999999,TPP,TPP
A84009,RAILWAY MEDICAL GROUP,NE24 1HD,55.128793,-1.514249,E06000057,E99999999,EMIS,EMIS
A84011,WHITE MEDICAL GROUP,NE20 9SD,55.051757,-1.750046,E06000057,E99999999,EMIS,EMIS
A84013,THE GABLES MEDICAL GROUP,NE22 7DU,55.140816,-1.564444,E06000057,E99999999,TPP,TPP
A84014,MARINE MEDICAL GROUP,NE24 1DX,55.127879,-1.51495,E06000057,E99999999,TPP,TPP
A84016,PRUDHOE MEDICAL GROUP,NE42 5PW,54.961947,-1.853348,E06000057,E99999999,TPP,TPP
A84018,CORBRIDGE HEALTH CENTRE,NE45 5LG,54.973869,-2.012711,E06000057,E99999999,EMIS,EMIS
A84020,GUIDEPOST MEDICAL GROUP,NE62 5RA,55.157585,-1.604124,E06000057,E99999999,TPP,TPP
A84022,COQUET MEDICAL GROUP,NE65 0HD,55.332602,-1.580519,E06000057,E99999999,TPP,TPP
A84024,BURN BRAE MEDICAL GROUP,NE46 1QJ,54.970445,-2.094672,E06000057,E99999999,EMIS,EMIS
A84025,CRAMLINGTON MEDICAL GROUP,NE23 6QN,55.084488,-1.59153,E06000057,E99999999,TPP,TPP
A84026,WELL CLOSE MEDICAL GROUP,TD15 1LL,55.772455,-2.006137,E06000057,E99999999,TPP,TPP
A84027,BELLINGHAM PRACTICE,NE48 2HE,55.143844,-2.258007,E06000057,E99999999,TPP,TPP
A84028,SEATON PARK MEDICAL GROUP,NE63 0NG,55.171195,-1.561193,E06000057,E99999999,TPP,TPP
A84029,NORTHUMBERLAND HEALTH,NE61 5LX,55.240252,-1.620524,E06000057,E99999999,TPP,TPP
A84030,VILLAGE MEDICAL GROUP,NE23 6US,55.084778,-1.587094,E06000057,E99999999,TPP,TPP
A84031,GREYSTOKE SURGERY,NE61 1JX,55.171698,-1.683437,E06000057,E99999999,TPP,TPP
A84033,THE SELE MEDICAL PRACTICE,NE46 1QJ,54.970445,-2.094672,E06000057,E99999999,EMIS,EMIS
A84034,HALTWHISTLE MEDICAL GROUP,NE49 9AP,54.970077,-2.464848,E06000057,E99999999,EMIS,EMIS
A84035,RIVERSDALE SURGERY,NE42 5DQ,54.961372,-1.84562,E06000057,E99999999,TPP,TPP
A84036,VALENS MEDICAL PARTNERSHIP,NE61 1BJ,55.169477,-1.689719,E06000057,E99999999,TPP,TPP
A84037,NETHERFIELD HOUSE,NE23 7EF,55.063989,-1.547851,E06000057,E99999999,TPP,TPP
A84038,FORUM FAMILY PRACTICE,NE23 6QN,55.084488,-1.59153,E06000057,E99999999,TPP,TPP
A84039,GAS HOUSE LANE SURGERY,NE61 1JX,55.171698,-1.683437,E06000057,E99999999,TPP,TPP
A84040,HUMSHAUGH & WARK MED GRP,NE46 4BU,55.036042,-2.125352,E06000057,E99999999,EMIS,EMIS
A84042,SCOTS GAP MEDICAL GROUP,NE61 4EG,55.17275,-1.940573,E06000057,E99999999,EMIS,EMIS
A84044,UNION BRAE & NORHAM PRAC,TD15 2HB,55.766713,-2.011778,E06000057,E99999999,TPP,TPP
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,NE47 6LA,54.975687,-2.250068,E06000057,E99999999,TPP,TPP
A84047,BRANCH END SURGERY,NE43 7LL,54.947139,-1.897801,E06000057,E99999999,TPP,TPP
A84604,WOOLER HEALTH,NE71 6BL,55.546533,-2.018128,E06000057,E99999999,TPP,TPP
A84614,THE ADDERLANE SURGERY,NE42 5HR,54.962612,-1.845756,E06000057,E99999999,EMIS,EMIS
A84619,ELSDON AVENUE SURGERY,NE25 0BW,55.070627,-1.5259,E06000057,E99999999,TPP,TPP
A85001,FELL TOWER MEDICAL CENTRE,NE9 5EY,54.935046,-1.599068,E08000037,E99999999,EMIS,EMIS
A85002,BENSHAM FAMILY PRACTICE,NE8 2XB,54.952789,-1.61705,E08000037,E99999999,EMIS,EMIS
A85004,LONGRIGG MEDICAL CENTRE,NE10 8PH,54.943764,-1.54589,E08000037,E99999999,EMIS,EMIS
